,date,county,state,fips,cases,deaths,county_fips_all,timestamp,cldCvrMin,cldCvrAvg,cldCvrMax,dewPtMin,dewPtAvg,dewPtMax,feelsLikeMin,feelsLikeAvg,feelsLikeMax,heatIndexMin,heatIndexAvg,heatIndexMax,mslPresMin,mslPresAvg,mslPresMax,precip,presTendMin,presTendAvg,presTendMax,radSolarMin,radSolarAvg,radSolarMax,radSolarTot,relHumMin,relHumAvg,relHumMax,sfcPresMin,sfcPresAvg,sfcPresMax,snowDepth,snowfall,spcHumMin,spcHumAvg,spcHumMax,tempMin,tempAvg,tempMax,windChillMin,windChillAvg,windChillMax,windDirAvg,windDir80mAvg,windDir100mAvg,windSpdMin,windSpdAvg,windSpdMax,windSpd80mMin,windSpd80mAvg,windSpd80mMax,windSpd100mMin,windSpd100mAvg,windSpd100mMax,wetBulbMin,wetBulbAvg,wetBulbMax
30,2020-02-23,Cook,Illinois,17031,2,0,17031,2020-02-23,0.0,15.0,100.0,24.15,29.65,34.55,26.450000000000003,38.45,51.2,33.05,42.7,53.849999999999994,1012.45,1014.25,1016.95,0.0,-0.9,-0.2,0.45,0.0,183.05,670.0999999999999,4392.4,43.25,60.599999999999994,71.6,987.1,988.4,991.4,0.0,0.0,2.8,3.55,4.3,33.05,42.7,53.849999999999994,26.450000000000003,38.45,51.2,230.5,234.0,236.5,3.25,7.2,10.95,12.0,15.899999999999999,21.4,12.5,17.1,23.4,30.05,37.6,45.05
31,2020-02-24,Cook,Illinois,17031,2,0,17031,2020-02-24,0.0,60.5,100.0,26.75,30.2,32.150000000000006,27.9,31.450000000000003,35.95,34.8,37.099999999999994,40.35,1010.8499999999999,1012.4,1014.0,0.0,-0.9,-0.1,0.6,0.0,119.0,495.0,2856.7,69.0,75.9,86.65,985.1,986.5,988.1500000000001,0.0,0.0,3.1,3.6,3.9,34.8,37.099999999999994,40.35,27.9,31.450000000000003,35.95,33.0,28.0,30.5,2.1500000000000004,7.949999999999999,11.55,10.6,14.8,20.450000000000003,11.5,16.05,21.450000000000003,32.05,34.45,36.900000000000006
32,2020-02-25,Cook,Illinois,17031,2,0,17031,2020-02-25,15.5,82.0,100.0,28.35,29.95,31.700000000000003,19.9,25.049999999999997,29.450000000000003,30.25,34.5,37.45,1010.7,1016.0,1020.7,0.1,-0.3,0.3,1.05,0.0,90.3,424.05,2166.5,76.3,83.25,94.0,985.5,989.65,993.5,1.0,0.9950000000000001,3.3,3.5,3.8,30.25,34.5,37.45,19.9,25.049999999999997,29.450000000000003,25.5,25.0,25.5,8.75,14.45,19.65,19.5,22.9,26.35,20.75,23.9,26.65,29.65,32.7,34.8
33,2020-02-26,Cook,Illinois,17031,2,0,17031,2020-02-26,0.0,76.5,100.0,12.399999999999999,21.4,28.25,14.5,18.0,20.950000000000003,23.6,27.35,29.85,1018.55,1019.8,1021.45,0.115,-0.4,0.0,0.8,0.0,177.75,654.4000000000001,4265.95,60.95,78.5,95.25,991.5,992.7,994.05,1.2999999999999998,1.07,1.7,2.5,3.3,23.6,27.35,29.85,14.5,18.0,20.950000000000003,342.5,347.0,349.0,4.75,10.25,13.600000000000001,12.05,17.3,21.05,11.45,17.35,21.15,20.85,25.6,29.2
34,2020-02-27,Cook,Illinois,17031,2,0,17031,2020-02-27,0.0,16.5,97.0,9.55,13.899999999999999,16.85,14.25,17.9,20.75,19.799999999999997,25.6,29.75,1018.3,1019.25,1020.3,0.0,-0.6,-0.1,0.35,0.0,189.5,708.7,4548.25,50.6,60.95,72.6,990.75,991.75,993.05,0.85,0.0,1.5,1.8,2.0,19.799999999999997,25.6,29.75,14.25,17.9,20.75,287.0,298.0,300.5,3.25,7.55,14.100000000000001,7.05,13.0,17.0,9.4,12.95,16.4,17.450000000000003,22.65,25.75
35,2020-02-28,Cook,Illinois,17031,2,0,17031,2020-02-28,0.0,7.0,22.5,4.4,7.75,10.25,10.85,14.55,18.9,17.5,22.65,28.200000000000003,1017.7,1019.3499999999999,1022.1,0.0,-0.4,0.1,0.7,0.0,199.85000000000002,719.2,4795.45,39.55,53.45,70.4,990.9,992.2,994.6500000000001,0.55,0.0,1.15,1.35,1.55,17.5,22.65,28.200000000000003,10.85,14.55,18.9,294.5,306.5,309.5,2.55,7.199999999999999,12.7,3.7,11.5,16.35,6.7,11.7,15.05,15.7,19.55,23.950000000000003
36,2020-02-29,Cook,Illinois,17031,3,0,17031,2020-02-29,0.0,6.5,77.0,2.8,10.0,22.9,8.6,20.450000000000003,30.85,15.9,27.15,36.55,1017.55,1021.05,1022.8,0.0,-1.0,-0.1,0.5,0.0,207.5,735.05,4980.65,30.4,49.8,73.55,991.6500000000001,995.05,996.95,0.15000000000000002,0.0,1.05,1.55,2.6,15.9,27.15,36.55,8.6,20.450000000000003,30.85,247.0,247.0,247.5,3.8,6.3,9.95,5.3,12.649999999999999,17.5,6.15,11.7,19.7,13.75,23.35,30.65
37,2020-03-01,Cook,Illinois,17031,3,0,17031,2020-03-01,0.0,11.5,57.0,22.65,34.4,44.7,24.1,41.45,57.05,30.450000000000003,45.75,59.1,1006.6,1009.6500000000001,1016.25,0.0,-1.2,-0.4,0.5,0.0,188.2,670.95,4516.0,46.349999999999994,65.45,82.8,980.6,983.75,991.2,0.0,0.0,2.6,4.5,6.4,30.450000000000003,45.75,59.1,24.1,41.45,57.05,203.5,204.0,203.5,3.6500000000000004,9.35,15.75,14.75,18.75,22.200000000000003,14.2,20.65,26.549999999999997,27.95,40.9,49.9
38,2020-03-02,Cook,Illinois,17031,4,0,17031,2020-03-02,0.0,7.0,58.0,28.65,30.75,36.8,29.25,36.4,44.35,32.15,39.3,47.5,1004.2,1007.2,1009.0,0.0,-0.95,-0.1,0.6,0.0,184.5,675.15,4428.0,53.3,72.2,87.35,978.6500000000001,981.2,982.9,0.0,0.0,3.4,3.7,4.699999999999999,32.15,39.3,47.5,29.25,36.4,44.35,287.0,298.0,304.0,0.7,4.45,8.350000000000001,5.05,9.55,17.8,4.6,8.850000000000001,16.6,30.9,35.9,41.5
39,2020-03-03,Cook,Illinois,17031,4,0,17031,2020-03-03,0.0,10.5,58.5,26.7,29.200000000000003,33.85,25.85,32.75,40.35,30.3,38.0,46.25,1001.9,1004.8499999999999,1009.6,0.0,-1.2,0.2,1.3,0.0,162.65,605.3499999999999,3903.3,52.75,71.9,90.1,975.2,978.45,982.9,0.0,0.0,3.1500000000000004,3.5,4.25,30.3,38.0,46.25,25.85,32.75,40.35,255.0,258.0,260.5,2.4,8.55,16.25,8.850000000000001,16.8,25.3,7.050000000000001,16.25,24.55,29.2,34.6,41.0
40,2020-03-04,Cook,Illinois,17031,4,0,17031,2020-03-04,0.0,9.5,56.5,21.05,27.15,33.150000000000006,28.75,34.9,42.85,30.65,38.650000000000006,46.55,1009.0,1014.3499999999999,1019.2,0.030000000000000002,-1.2999999999999998,0.4,1.75,0.0,205.45,731.4,4930.200000000001,36.1,65.6,91.75,982.8,988.3,992.8499999999999,0.0,0.0,2.45,3.2,4.1,30.65,38.650000000000006,46.55,28.75,34.9,42.85,288.0,288.0,292.0,0.0,5.75,10.4,1.35,9.95,17.75,2.75,10.149999999999999,17.65,28.700000000000003,34.650000000000006,38.65
41,2020-03-05,Santa Rosa,Florida,12113,1,0,12113,2020-03-05,59.0,96.0,100.0,52.8,56.1,62.7,55.0,58.5,64.5,56.3,59.2,64.5,1010.3,1014.2,1020.8,0.03,-1.0,0.3,1.3,0.0,73.4,336.6,1762.3,82.7,89.5,96.1,1008.2,1012.1,1018.8,0.0,0.0,8.4,9.6,12.1,56.3,59.2,64.5,55.0,58.5,64.5,349.0,5.0,2.0,0.3,7.0,11.8,2.2,12.6,18.5,3.7,13.3,19.1,54.7,57.4,63.1
