Wayne,"28,970","30,164","31,954",,
Webster,"30,591","32,211","33,109",,
Wheeler,"18,257","19,010","19,631",,
White,"32,388","33,680","34,961",,
Whitfield,"36,201","37,278","38,752",,
Wilcox,"24,278","26,014","26,712",,
Wilkes,"37,483","38,339","39,472",,
Wilkinson,"33,883","34,285","35,204",,
Worth,"31,071","32,540","34,380",,
,,,,,
Hawaii,"51,032","53,145","55,418",,
Hawaii,"39,005","40,883","42,449",,
Honolulu,"54,860","57,049","59,608",,
Kauai,"44,738","47,084","49,416",,
Maui,"45,194","47,322","49,040",,
,,,,,
Idaho,"40,670","42,094","43,901",,
Ada,"48,641","50,699","52,958",,
Adams,"37,412","35,945","37,452",,
Bannock,"35,620","36,984","38,160",,
Bear Lake,"37,331","37,484","38,493",,
Benewah,"35,421","35,691","37,383",,
Bingham,"33,495","34,615","36,335",,
Blaine,"98,311","107,468","113,780",,
Boise,"42,178","41,580","43,392",,
Bonner,"38,542","39,444","41,209",,
Bonneville,"44,272","46,236","48,287",,
Boundary,"33,709","34,792","36,934",,
Butte,"38,615","37,944","38,961",,
Camas,"36,507","36,314","38,600",,
Canyon,"30,254","31,422","32,680",,
Caribou,"37,372","37,788","39,146",,
Cassia,"43,861","42,790","45,220",,
Clark,"37,375","38,537","39,408",,
Clearwater,"33,130","33,881","34,506",,
Custer,"42,805","41,476","43,185",,
Elmore,"36,063","35,609","36,855",,
Franklin,"33,619","34,974","36,064",,
Fremont (includes Yellowstone National Park),"34,533","35,350","36,908",,
Gem,"35,229","36,200","37,796",,
Gooding,"53,588","53,995","52,875",,
Idaho,"32,229","32,903","35,122",,
Jefferson,"32,678","33,745","34,900",,
Jerome,"36,656","36,699","38,184",,
Kootenai,"41,370","43,129","44,987",,
Latah,"38,558","39,454","41,341",,
Lemhi,"39,193","39,790","41,565",,
Lewis,"44,733","43,517","47,267",,
Lincoln,"33,155","33,566","34,821",,
Madison,"24,057","24,881","26,407",,
Minidoka,"36,981","36,149","38,159",,
Nez Perce,"40,978","42,907","44,397",,
Oneida,"33,714","33,614","35,234",,
Owyhee,"34,569","32,319","33,372",,
Payette,"37,642","38,125","38,933",,
Power,"34,184","35,757","36,667",,
Shoshone,"35,949","34,669","35,537",,
Teton,"35,994","37,567","39,858",,
Twin Falls,"37,089","38,230","39,623",,
Valley,"45,936","47,866","49,630",,
Washington,"34,150","34,870","36,225",,
,,,,,
Illinois,"52,273","53,943","56,839",,
Adams,"42,923","44,055","46,886",,
Alexander,"32,205","32,888","34,713",,
Bond,"34,461","34,896","37,653",,
Boone,"43,881","45,005","47,437",,
Brown,"31,696","33,448","35,166",,
Bureau,"40,607","41,897","43,931",,
Calhoun,"37,840","39,897","42,511",,
Carroll,"43,011","43,059","42,399",,
Cass,"38,924","40,212","42,649",,
Champaign,"42,875","43,106","45,328",,
Christian,"38,314","39,756","41,724",,
Clark,"38,064","39,877","43,012",,
Clay,"35,907","37,175","40,351",,
Clinton,"43,993","45,539","48,253",,
Coles,"37,642","39,098","40,995",,
Cook,"56,961","59,046","62,205",,
Crawford,"44,130","44,969","48,332",,
Cumberland,"40,328","41,910","43,778",,
DeKalb,"38,140","39,059","40,929",,
De Witt,"45,444","45,308","47,205",,
Douglas,"45,882","48,003","51,537",,
DuPage,"66,522","69,106","72,889",,
Edgar,"38,261","40,549","42,184",,
Edwards,"36,208","39,111","40,331",,
Effingham,"44,849","47,755","50,599",,
Fayette,"32,745","33,549","35,456",,
Ford,"51,782","49,742","52,879",,
Franklin,"34,943","35,794","37,355",,
